GUID,GEOGDESC,Male,Female,Total
2AE19629185813A3E055000000000001,Carlow Urban,229,3950,764
2AE196291A5913A3E055000000000001,Graigue Urban,425,160,3187
2AE19629186413A3E055000000000001,Clonmore,238,1946,3323
2AE19629187F13A3E055000000000001,Hacketstown,684,772,1011
2AE19629188713A3E055000000000001,Haroldstown,656,1946,2853
2AE19629189713A3E055000000000001,Kineagh,257,2979,3691
2AE1962918B813A3E055000000000001,Rahill,192,420,2373
2AE1962918C413A3E055000000000001,Rathvilly,424,657,3486
2AE19629182213A3E055000000000001,Tiknock,124,3792,4540
2AE196291A5813A3E055000000000001,Williamstown,377,1770,2173
2AE19629183613A3E055000000000001,Agha,793,3737,1401
2AE19629183713A3E055000000000001,Ballinacarrig,362,394,2091
2AE19629184013A3E055000000000001,Ballintemple,539,1960,319
2AE19629184113A3E055000000000001,Ballon,352,2537,1185
2AE19629184213A3E055000000000001,Ballyellin,6,1808,3274
2AE19629184313A3E055000000000001,Ballymoon,248,2285,1952
2AE19629184E13A3E055000000000001,Borris,122,1847,3453
2AE19629184F13A3E055000000000001,Burton Hall,896,2607,1904
2AE19629185713A3E055000000000001,Carlow Rural,732,1287,2098
2AE19629185913A3E055000000000001,Clogrenan,337,1401,4467
2AE19629185A13A3E055000000000001,Clonegall,846,2948,4920
2AE19629186613A3E055000000000001,Corries,724,2502,943
2AE19629187213A3E055000000000001,Cranemore,714,3669,3504
2AE19629187313A3E055000000000001,Fennagh,621,2386,1922
2AE19629187413A3E055000000000001,Garryhill,338,3822,2655
2AE19629187E13A3E055000000000001,Grangeford,489,2730,2871
2AE19629188813A3E055000000000001,Johnstown,884,2829,3558
2AE19629188913A3E055000000000001,Kellistown,750,1303,531
2AE19629188A13A3E055000000000001,Kilbride,560,2481,54
2AE19629189513A3E055000000000001,Killedmond,791,2619,3698
2AE19629189613A3E055000000000001,Killerrig,341,2739,2913
2AE1962918A113A3E055000000000001,Leighlinbridge,293,1838,2956
2AE1962918AB13A3E055000000000001,Muinebeag (Bagenalstown) Rural,889,2019,1224
2AE1962918AC13A3E055000000000001,Muinebeag (Bagenalstown) Urban,450,2988,1013
2AE1962918AD13A3E055000000000001,Myshall,100,1205,1087
2AE1962918AE13A3E055000000000001,Nurney,605,2962,2416
2AE1962918B713A3E055000000000001,Oldleighlin,557,3835,3093
2AE1962918B913A3E055000000000001,Rathanna,968,605,1766
2AE1962918C213A3E055000000000001,Rathornan,373,1363,778
2AE1962918C313A3E055000000000001,Rathrush,474,3432,847
2AE19629181613A3E055000000000001,Ridge,876,649,4916
2AE19629181713A3E055000000000001,Shangarry,510,213,71
2AE19629181813A3E055000000000001,Sliguff,927,47,3097
2AE19629182013A3E055000000000001,Tankardstown,964,2829,1489
2AE19629182113A3E055000000000001,Templepeter,229,2819,3282
2AE196291A5713A3E055000000000001,Tullowbeg,994,3860,1552
2AE196291A5513A3E055000000000001,Tullow Rural,36,2556,2166
2AE196291A5613A3E055000000000001,Tullow Urban,850,3662,542
2AE19629184D13A3E055000000000001,Ballymurphy,10,2460,3734
2AE19629186513A3E055000000000001,Coonogue,892,1326,4201
2AE19629187D13A3E055000000000001,Glynn,13,1434,1083
2AE1962918A013A3E055000000000001,Kyle,205,1304,2600
